gene_id,starting_motifs,filtered_motifs
ENSDARG00000003732|melanocyte,2070,244.0
ENSDARG00000077467|SRY-box,1408,67.0
ENSXMAG00000001603|sox10|SRY-box,1512,247.0
ENSXMAG00000002200|melanocyte,2556,172.0
sequence_name,7,0.0
